rho,rho_neg,rho_pos,tpr_b_target,fpr_b_target,tpr_a_target,fpr_a_target,comp,n_samples,replicates,thr_a,thr_b,mu_a,mu_b,tpr_a,tpr_a_std,fpr_a,fpr_a_std,tpr_b,tpr_b_std,fpr_b,fpr_b_std,tpr_comp,tpr_comp_std,fpr_comp,fpr_comp_std,j_a,j_a_std,j_b,j_b_std,j_comp,j_comp_std,cc_max,cc_max_std,delta_add,delta_add_std,rho_score_neg_hat,rho_score_neg_hat_std,rho_score_pos_hat,rho_score_pos_hat_std,rho_dec_neg_hat,rho_dec_neg_hat_std,rho_dec_pos_hat,rho_dec_pos_hat_std
-0.48,-0.48,-0.48,0.875,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.5554209406856403,0.81505,0.0,0.08195,0.0,0.8732,0.0,0.07965,0.0,0.6917,0.0,0.0004,0.0,0.7331000000000001,0.0,0.79355,0.0,0.6913,0.0,0.8711486358767564,0.0,-0.253598495,0.0,-0.4770794808546462,0.0,-0.4824338911174119,0.0,-0.08250748326609043,0.0,-0.15482113844093892,0.0
-0.48,-0.48,-0.48,0.9,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.6866231258542332,0.81855,0.0,0.07955,0.0,0.9011,0.0,0.0788,0.0,0.72215,0.0,0.00045,0.0,0.739,0.0,0.8223,0.0,0.7217,0.0,0.8776602213304147,0.0,-0.23192030000000008,0.0,-0.48113307001115435,0.0,-0.48823947420771485,0.0,-0.07980934707701326,0.0,-0.13424977523425288,0.0
-0.42,-0.42,-0.42,0.6,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.6584186634454325,0.8193,0.0,0.0801,0.0,0.6054,0.0,0.08305,0.0,0.45595,0.0,0.0008,0.0,0.7392000000000001,0.0,0.5223500000000001,0.0,0.45515,0.0,0.615733225108225,0.0,-0.4202788800000001,0.0,-0.4291153607591295,0.0,-0.4213712150373184,0.0,-0.07812638663428582,0.0,-0.21298448906279352,0.0
-0.42,-0.42,-0.42,0.625,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.7237109242740078,0.824,0.0,0.0793,0.0,0.62645,0.0,0.08135,0.0,0.47915,0.0,0.0008,0.0,0.7446999999999999,0.0,0.5450999999999999,0.0,0.47835,0.0,0.6423391969920774,0.0,-0.40551403,0.0,-0.4240910452556012,0.0,-0.4142031614469804,0.0,-0.07650327914256894,0.0,-0.20108965893367192,0.0
-0.42,-0.42,-0.42,0.65,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.7903920267172002,0.8208,0.0,0.07855,0.0,0.64755,0.0,0.07775,0.0,0.4934,0.0,0.0005,0.0,0.74225,0.0,0.5698,0.0,0.4929,0.0,0.6640619737285282,0.0,-0.39621595,0.0,-0.4132854932575623,0.0,-0.41745565391944256,0.0,-0.07783364605199714,0.0,-0.20799597017824298,0.0
-0.42,-0.42,-0.42,0.675,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.8588337504795123,0.81965,0.0,0.0839,0.0,0.6741,0.0,0.08445,0.0,0.5167,0.0,0.001,0.0,0.73575,0.0,0.58965,0.0,0.5157,0.0,0.7009174311926606,0.0,-0.37586501250000004,0.0,-0.4178123939365675,0.0,-0.42985857980617714,0.0,-0.07893918463138716,0.0,-0.19880278806935509,0.0
-0.42,-0.42,-0.42,0.7,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.9294720730176733,0.8157,0.0,0.08065,0.0,0.7039,0.0,0.0769,0.0,0.5397,0.0,0.0007,0.0,0.73505,0.0,0.627,0.0,0.5389999999999999,0.0,0.7332834501054349,0.0,-0.3621736500000001,0.0,-0.4114622925049982,0.0,-0.42487497926197554,0.0,-0.07583841199493546,0.0,-0.19473956478708654,0.0
-0.42,-0.42,-0.42,0.725,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.002831686352111,0.81825,0.0,0.08025,0.0,0.72385,0.0,0.0821,0.0,0.56145,0.0,0.00075,0.0,0.738,0.0,0.64175,0.0,0.5607,0.0,0.7597560975609756,0.0,-0.3454385,0.0,-0.4260736675392331,0.0,-0.41171815265060974,0.0,-0.07828462253473288,0.0,-0.17887145348923233,0.0
-0.42,-0.42,-0.42,0.75,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.0795613105057145,0.8166,0.0,0.08185,0.0,0.7519,0.0,0.0749,0.0,0.58405,0.0,0.00065,0.0,0.73475,0.0,0.677,0.0,0.5833999999999999,0.0,0.7940115685607348,0.0,-0.33092425000000003,0.0,-0.41516822966703465,0.0,-0.4152270916872366,0.0,-0.0759493256973341,0.0,-0.1791931397818623,0.0
-0.42,-0.42,-0.42,0.775,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.160486586670102,0.81835,0.0,0.07705,0.0,0.7682,0.0,0.0782,0.0,0.60025,0.0,0.00035,0.0,0.7413000000000001,0.0,0.69,0.0,0.5999,0.0,0.8092540132200188,0.0,-0.31990300000000005,0.0,-0.4170897349978662,0.0,-0.42481818262761806,0.0,-0.07926700545888697,0.0,-0.1745967505431308,0.0
-0.42,-0.42,-0.42,0.8,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.246692793882547,0.82285,0.0,0.0805,0.0,0.79695,0.0,0.07965,0.0,0.6286,0.0,0.0007,0.0,0.74235,0.0,0.7173,0.0,0.6279,0.0,0.8458274398868459,0.0,-0.29926234499999993,0.0,-0.4111451947568914,0.0,-0.4218328230755618,0.0,-0.07754105178936715,0.0,-0.17690764618610832,0.0
-0.42,-0.42,-0.42,0.825,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.3396608513831127,0.82115,0.0,0.076,0.0,0.82415,0.0,0.08185,0.0,0.6532,0.0,0.00065,0.0,0.7451500000000001,0.0,0.7423000000000001,0.0,0.65255,0.0,0.8757297188485538,0.0,-0.28177515500000005,0.0,-0.42086507770857606,0.0,-0.42362666841417096,0.0,-0.07668192944625467,0.0,-0.16142660701501668,0.0
-0.42,-0.42,-0.42,0.8500000000000001,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.4415049498034227,0.81905,0.0,0.0825,0.0,0.851,0.0,0.0821,0.0,0.6766,0.0,0.00075,0.0,0.7365499999999999,0.0,0.7688999999999999,0.0,0.67585,0.0,0.8789829626739498,0.0,-0.26326670499999993,0.0,-0.4201386660142804,0.0,-0.42059919371075755,0.0,-0.07975016955485847,0.0,-0.14889618479728653,0.0
