p1,p2,p3,event,classical_width,improved_width,width_reduction
0.14,0.22999999999999998,0.55,and,0.14,0.032200000000000006,0.1078
0.14,0.22999999999999998,0.55,or,0.37,0.03220000000000012,0.3377999999999999
0.14,0.27499999999999997,0.55,and,0.14,0.0385,0.1015
0.14,0.27499999999999997,0.55,or,0.41500000000000004,0.03849999999999987,0.37650000000000017
0.14,0.32,0.55,and,0.14,0.044800000000000006,0.0952
0.14,0.32,0.55,or,0.44999999999999996,0.04480000000000017,0.4051999999999998
0.14,0.365,0.55,and,0.14,0.051100000000000007,0.0889
0.14,0.365,0.55,or,0.44999999999999996,0.05109999999999992,0.39890000000000003
0.14,0.41,0.55,and,0.14,0.0574,0.0826
0.14,0.41,0.55,or,0.44999999999999996,0.05740000000000001,0.39259999999999995
0.14,0.45499999999999996,0.55,and,0.14,0.063,0.07700000000000001
0.14,0.45499999999999996,0.55,or,0.44999999999999996,0.06300000000000006,0.3869999999999999
0.14,0.49999999999999994,0.55,and,0.14,0.063,0.07700000000000001
0.14,0.49999999999999994,0.55,or,0.44999999999999996,0.06299999999999994,0.387
0.14,0.545,0.55,and,0.14,0.063,0.07700000000000001
0.14,0.545,0.55,or,0.44999999999999996,0.06299999999999994,0.387
0.14,0.5900000000000001,0.55,and,0.14,0.05739999999999999,0.08260000000000002
0.14,0.5900000000000001,0.55,or,0.4099999999999999,0.05740000000000012,0.3525999999999998
0.14,0.635,0.55,and,0.14,0.051100000000000007,0.0889
0.14,0.635,0.55,or,0.365,0.051100000000000034,0.31389999999999996
0.14,0.68,0.55,and,0.14,0.04479999999999999,0.09520000000000002
0.14,0.68,0.55,or,0.31999999999999995,0.04479999999999995,0.2752
0.14,0.725,0.55,and,0.14,0.038500000000000006,0.1015
0.14,0.725,0.55,or,0.275,0.03849999999999998,0.23650000000000004
0.14,0.77,0.55,and,0.14,0.032200000000000006,0.1078
0.14,0.77,0.55,or,0.22999999999999998,0.032199999999999895,0.1978000000000001
0.14,0.8150000000000001,0.55,and,0.14,0.025899999999999992,0.11410000000000002
0.14,0.8150000000000001,0.55,or,0.18499999999999994,0.025899999999999923,0.15910000000000002
0.14,0.86,0.55,and,0.14,0.019600000000000006,0.12040000000000001
0.14,0.86,0.55,or,0.14,0.019600000000000062,0.12039999999999995
0.14,0.905,0.55,and,0.14,0.013300000000000006,0.1267
